Location,Male,Female,Both Sexes
Angola,1407.00,1066.00,2473.00
Burundi,427.00,351.40,778.40
Benin,598.70,464.50,1063.00
Burkina Faso,1145.00,879.00,2024.00
Botswana,18.74,15.03,33.77
Central African Republic,267.90,177.40,445.30
Côte d’Ivoire,1578.00,1217.00,2795.00
Cameroon,1557.00,1218.00,2775.00
Democratic Republic of the Congo,4551.00,3408.00,7959.00
Congo,110.40,79.29,189.60
Comoros,20.00,16.11,36.11
Cabo Verde,2.16,1.82,3.98
Algeria,223.60,188.00,411.60
Eritrea,58.52,41.49,100.00
Ethiopia,2154.00,1612.00,3766.00
Gabon,29.95,20.52,50.46
Ghana,613.60,455.30,1069.00
Guinea,809.10,628.20,1437.00
Gambia,60.74,47.92,108.70
Guinea-Bissau,60.63,47.42,108.10
Equatorial Guinea,55.52,42.20,97.72
Kenya,473.80,369.70,843.60
Liberia,186.80,140.20,327.10
Lesotho,44.66,35.41,80.07
Madagascar,388.60,461.80,850.40
Mali,1206.00,1043.00,2248.00
Mozambique,835.30,671.40,1507.00
Mauritania,174.50,137.90,312.40
Mauritius,0.94,0.74,1.68
Malawi,262.60,194.50,457.10
Namibia,22.05,17.43,39.48
Niger,1615.00,1290.00,2905.00
Nigeria,22715.00,17515.00,40231.00
Rwanda,226.70,182.90,409.60
Senegal,411.50,325.40,736.90
Sierra Leone,594.20,476.30,1070.00
South Sudan,467.60,376.50,844.20
Sao Tome and Principe,3.90,3.15,7.05
Eswatini,19.78,16.16,35.94
Seychelles,0.16,0.12,0.28
Chad,1771.00,1443.00,3215.00
Togo,315.50,217.60,533.10
United Republic of Tanzania,970.10,772.90,1743.00
Uganda,1154.00,906.30,2061.00
South Africa,645.80,526.80,1173.00
Zambia,380.20,291.20,671.40
Zimbabwe,165.80,133.00,298.80
Argentina,23.59,17.83,41.42
Antigua and Barbuda,0.06,0.03,0.09
Bahamas,0.15,0.12,0.27
Belize,0.23,0.19,0.42
Bolivia (Plurinational State of),80.00,64.55,144.60
Brazil,187.30,141.40,328.70
Barbados,0.07,0.04,0.11
Canada,0.88,0.71,1.59
Chile,3.76,2.84,6.60
Colombia,72.67,56.95,129.60
Costa Rica,2.31,1.76,4.08
Cuba,5.00,3.87,8.87
Dominican Republic,16.78,14.04,30.83
Ecuador,51.27,38.34,89.61
Grenada,0.01,0.01,0.01
Guatemala,163.20,128.90,292.10
Guyana,2.29,1.83,4.11
Honduras,37.25,26.66,63.91
Haiti,143.10,116.50,259.60
Jamaica,2.36,1.89,4.25
Saint Lucia,0.21,0.16,0.37
Mexico,252.70,200.00,452.70
Nicaragua,27.59,21.29,48.88
Panama,8.46,6.46,14.92
Peru,88.97,74.68,163.70
Paraguay,17.65,14.71,32.36
El Salvador,19.52,15.62,35.14
Suriname,0.69,0.52,1.21
Trinidad and Tobago,1.52,1.21,2.73
Uruguay,0.36,0.46,0.81
United States of America,20.58,16.50,37.08
Saint Vincent and the Grenadines,0.16,0.13,0.29
Venezuela (Bolivarian Republic of),108.30,83.63,191.90
Afghanistan,1251.00,1013.00,2264.00
United Arab Emirates,5.77,4.17,9.94
Bahrain,0.52,0.46,0.98
Djibouti,16.86,13.47,30.33
Egypt,1122.00,955.60,2077.00
Iran (Islamic Republic of),318.10,276.70,594.80
Iraq,498.00,391.20,889.20
Jordan,38.54,30.69,69.23
Kuwait,4.75,3.73,8.48
Lebanon,5.92,4.89,10.81
Libya,13.63,9.89,23.53
Morocco,112.10,90.52,202.60
Oman,10.30,8.80,19.10
Pakistan,8342.00,6329.00,14670.00
Qatar,1.54,1.31,2.85
Saudi Arabia,29.77,29.77,59.54
Sudan,667.30,505.30,1173.00
Somalia,804.10,658.10,1462.00
Syrian Arab Republic,127.50,106.00,233.50
Tunisia,23.32,19.45,42.77
Yemen,1089.00,859.60,1948.00
Albania,2.48,1.72,4.20
Armenia,9.19,7.02,16.21
Austria,0.50,0.28,0.78
Azerbaijan,62.34,46.59,108.90
Belgium,0.49,0.38,0.87
Bulgaria,5.60,4.19,9.78
Bosnia and Herzegovina,1.18,0.94,2.12
Belarus,1.57,1.18,2.75
Switzerland,0.20,0.19,0.39
Cyprus,0.00,0.00,0.00
Czechia,1.56,1.60,3.16
Germany,2.85,1.90,4.75
Denmark,0.03,0.02,0.05
Spain,1.10,1.07,2.17
Estonia,0.03,0.10,0.13
Finland,0.05,0.04,0.09
France,2.21,1.62,3.83
United Kingdom of Great Britain and Northern Ireland,5.98,4.78,10.76
Georgia,5.01,3.86,8.87
Greece,0.57,0.42,0.99
Croatia,0.29,0.22,0.51
Hungary,1.18,1.04,2.22
Ireland,0.10,0.12,0.23
Iceland,0.00,0.00,0.00
Israel,0.52,0.53,1.06
Italy,1.00,1.06,2.06
Kazakhstan,62.53,46.72,109.20
Kyrgyzstan,56.63,43.53,100.20
Lithuania,0.05,0.30,0.35
Luxembourg,0.02,0.01,0.03
Latvia,0.44,0.31,0.75
Republic of Moldova,7.08,5.45,12.53
The former Yugoslav Republic of Macedonia,1.13,0.81,1.94
Malta,0.03,0.02,0.05
Montenegro,0.12,0.11,0.23
Netherlands,0.43,0.45,0.89
Norway,0.06,0.03,0.09
Poland,7.98,6.38,14.36
Portugal,0.82,0.67,1.49
Romania,26.23,20.31,46.55
Russian Federation,37.96,31.07,69.02
Serbia,2.22,2.09,4.30
Slovakia,2.31,2.12,4.44
Slovenia,0.03,0.03,0.06
Sweden,0.25,0.16,0.41
Tajikistan,338.50,246.00,584.50
Turkmenistan,90.41,65.43,155.80
Türkiye,52.21,43.82,96.03
Ukraine,17.74,13.37,31.11
Uzbekistan,270.80,202.50,473.30
Bangladesh,1439.00,1214.00,2653.00
Bhutan,5.81,4.61,10.42
Indonesia,1432.00,966.70,2399.00
India,13393.00,12489.00,25882.00
Sri Lanka,18.77,14.41,33.18
Maldives,0.23,0.18,0.41
Myanmar,527.50,399.00,926.40
Nepal,234.80,189.30,424.10
Democratic People's Republic of Korea,104.90,79.52,184.40
Thailand,69.00,53.71,122.70
Timor-Leste,32.65,26.10,58.75
Australia,1.45,1.00,2.45
Brunei Darussalam,0.05,0.05,0.10
China,2713.00,2127.00,4840.00
Fiji,2.50,2.05,4.55
Micronesia (Federated States of),0.42,0.35,0.77
Japan,6.28,5.87,12.15
Cambodia,123.20,93.45,216.60
Kiribati,0.76,0.59,1.35
Republic of Korea,2.85,2.05,4.90
Lao People's Democratic Republic,113.00,88.91,202.00
Mongolia,24.39,18.39,42.78
Malaysia,31.19,25.33,56.52
New Zealand,0.89,0.75,1.63
Philippines,838.60,627.30,1466.00
Papua New Guinea,54.71,30.22,84.93
Singapore,1.21,0.68,1.89
Solomon Islands,2.23,1.58,3.80
Tonga,0.14,0.19,0.32
Viet Nam,386.30,243.70,630.00
Vanuatu,1.60,1.38,2.99
Samoa,0.20,0.22,0.42